"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Istriku Sayang Istriku Malang","Drama",1977,NA,"Colour",95,NA,NA,"MT Fachruddin, Rudy Lukito","Wahab Abdi","Asrul Sani, Wahab Abdi","Marini, Broery Pesolima, Lenny Marlina, Ria Irawan, Ratno Timoer","Hamil untuk ketiga kalinya, Shinta terpaksa dioperasi untuk menyelamatkan nyawanya. Seusai operasi, Shinta menjadi ""dingin"" di tempat tidur. Norman, suaminya, lama-lama tak tahan, dan mendapat pacar, Yulia, teman sekantornya. Shinta dicerai, melepas suaminya dan bersama dua anaknya terseok-seok mengarungi kehidupan Jakarta. Norman yang kemudian sadar, mencari istri dan anaknya. Ia sempat menjumpai istrinya dalam keadaan nestapa. Dan meninggal."
"Kugapai Cintamu","Drama",1977,NA,"Colour",117,NA,3.5,"Wim Umboh, Yudhi Astono Cahaya","Wim Umboh","Arifin C Noer, Ashadi Siregar","Lenny Marlina, Jenny Rachman, Cok Simbara, Roy Marten, Mia Kumala","Widuri adalah tipologi gadis desa Jawa yang tak berani mengutarakan cintanya dan pasrah. Irawati, gadis manja dan agresif, yang dituruti semua kemauannya oleh orangtuanya yang pengusaha, karena sudah diramal tak berumur panjang. Dua-duanya mencintai Tody, tokoh mahasiswa yang peragu dalam cinta hingga sering berkonsultasi dengan sahabatnya, Anton, mahasiswa psikologi. Widuri yang mencinta dalam diam, kalah dengan Irawati. Meski demikian, Irawati seolah belum puas. Saat Tody ber-KKN ke desa Widuri, Irawati mengerjai Widuri. Widuri diperkosa kawan-kawan berandalan Irawati, hingga hamil dan pulang ke desa. Tody, yang mendapat surat dari orangtuanya bahwa tak sanggup membiayai sekolahnya lagi, lalu bekerja pada orangtua Irawati. Saat menolong teman yang butuh duit dengan uang perusahaan dan gagal dikembalikan, Tody ditodong mengawini Irawati yang hamil akibat pergaulan bebasnya. Ia tak bisa mengelak, tapi lalu pergi bekerja di tempat lain. Irawati yang merengek, tak dihiraukan. Tody tetap mencintai Widuri. Ia menyusul Widuri ke desanya, mengajak kawin dan menyuruh cerai dengan suaminya yang bajingan.Widuri tak mau. Dalam keadaan kalap ia pulang dan mengalami kecelakaan, sementara Irawati juga meninggal saat melahirkan. Semuanya menggapai cinta."
"Duo Kribo","Drama",1977,NA,"Colour",116,NA,NA,"Njoo Han Siang","Eduart P Sirait","Remy Sylado, Ucok Aka Harahap","Ucok Aka Harahap, Achmad Albar, Eva Arnaz, Yolanda Sulaiman, Marlia Hardi","Achmad Albar kembali ke Indonesia setelah lulus cum laude dari sebuah konservatori di Eropa. Dia lalu bermain musik rock, seperti juga Ucok yang berasal dari kampung dan mengadu nasib di Jakarta untuk menggapai impiannya: penyanyi tenar dan mobil mewah. Persaingan dua rocker ini yang jadi tiang utama cerita, meski pada akhirnya mereka bergabung dalam sebuah pertunjukan besar."
"Al Kautsar","Drama",1977,NA,"Colour",106,NA,NA,"Chan Pattimura","Chaerul Umam","Asrul Sani, Chan Pattimura","WS Rendra, Bagong Kussudiardjo, Wisnu Wardhana, Soultan Saladin, Henny Kundhalini, Yulinar Firdaus, Wahab Abdi","Saiful Bachri, guru mengaji dari Pondok Pesantren Pabelan, dikirim ke Sekarlangit, suatu desa di luar Jawa, atas permintaan Haji Mustofa. Ia terpilih karena kecuali kepandaiannya dalam agama, juga ketrampilannya dalam hal pertanian. Suatu hal yang dibutuhkan desa itu menurut Mustofa. Kedatangan Saiful menimbulkan berbagai reaksi dari penduduk desa. Haji Musa, yang jadi panutan penduduk, mula-mula tidak simpati pada pembaruan yang dibawakan Saiful. Konflik halus ini meningkat karena berhadapannya Saiful dengan Tuan Harun, tengkulak yang ditakuti penduduk dan yang menghalalkan segala cara, termasuk ""membunuh"" suami Halimah, yang sudah sakit-sakitan, untuk bisa memperistrinya. Niat ini tak kesampaian. Halimah malah bersimpati pada Saiful, meski Saiful berusaha tak menanggapi, karena ia sudah punya pacar di Pabelan, yaitu Nur, yang baru di akhir film diketahuinya putri Haji Musa."
"Jakarta Jakarta","Drama",1977,NA,"Colour",115,NA,NA,"Hasrat Djoeir","Ami Prijono","N Riantiarno, Ami Prijono","El Manik, Ricca Rachim, Masito Sitorus, Rae Sita, Deddy Sutomo","Sebuah niat untuk melukiskan kehidupan Jakarta, yang penuh kontras dan keras: ada mahasiswa, pengusaha serakah, pelacur, penggusuran, pengangguran. Tumbur Silitonga datang ke Jakarta dengan penuh harapan, namun yang menyongsongnya tiga berandal yang menyikat seluruh hartanya dan menginjak-injak ijazahnya. Dan selanjutnya adalah sebuah kumpulan sketsa tentang Jakarta, termasuk percintaan antara Tumbur dan Rini. Permainan Masito Sitorus sebagai pemilik bengkel yang tergusur, sangat memikat. Sutradara Ami Prijono menyebut film ini sebagai asinan."
"Yang Muda Yang Bercinta","Drama",1977,NA,"Colour",127,NA,8.5,"Sjuman Djaya","Sjuman Djaya","Umar Kayam","WS Rendra, Maruli Sitompul, Sukarno M Noor, Yatie Octavia, Nani Widjaja","Sebuah film yang mencoba memahami anak muda atau mahasiswa yang suka protes dan yang mencari jati diri. Sony, mahasiswa dan penyair, yang belum punya penghasilan tetap hingga sangat tergantung pada ayahnya, pensiunan pegawai negeri jujur, dan pamannya yang kaya tapi hartanya diperoleh secara tak halal. Kekayaan pamannya dan juga sahabatnya, sementara lingkungan pribadinya dan pacarnya, Titiek yang sederhana, menimbulkan masalah bagi Sony. Tampilan protes-protesnya dalam bentuk puisi. Sikap Sony yang gemar protes dan seolah tak kenal tanggung jawab, menjelujuri seluruh film. Contohnya kebalikan dari protesnya: akan beli SIM saat pamannya memberinya skuter. Sony akhirnya harus terbentur karena sikapnya ini. Pacarnya hamil. Dia lari. Selama pelariannya ini ia mengendapkan permasalahannya. Ia memilih menghadapi kenyataan dengan sikap lebih dewasa."
"Pendekar Tangan Hitam","Action",1977,NA,"Colour",93,NA,NA,"Pala Manroe BA, Munir Abisujak","A Harris","A Harris","Nuke Maya Saphira, WD Mochtar, Beng Ito, Aty Rosarita, Anna Yohana, S Kumala Dewi","Sebuah kisah antah-berantah. Murni sudah lama diculik dan diperistri Datuk Benalu, tapi ia tetap mengharap anaknya akan membebaskannya. Adegan pindah ke Megat, keponakan Murni, yang jumpa dengan Ratih, yang mau menyeberang dan diserang gerombolan Benalu, jawara yang selalu mengenakan sarung tangan hitam dan bermata satu. Dalam perjalanan Megat bertemu lagi dengan dua gadis lain, Seruni dan Kumala yang ternyata kemudian diketahui sebagai saudara-saudaranya. Mereka berempat lalu membebaskan Murni yang disekap, dan mengalahkan Benalu. Megat lalu melanjutkan perjalanan. Sepanjang film, dipenuhi adegan perkelahian."
"Christina","Drama",1977,NA,"Colour",92,NA,NA,"Pd P Satiyo Sadhan","IM Chandra Adi","Wahab Abdi","Jenny Rachman, Rae Sita, Wahab Abdi, Roy Marten, WD Mochtar","Dari keluarga seorang direktur bank yang bobrok moralnya tampil dua anak yang bertolak belakang sifatnya: Maria yang sama bobroknya seperti ayahnya, dan kakaknya, Christina yang sebaliknya. Meski judulnya memakai nama salah satu tokoh cerita, tapi sukar dikatakan ia menjadi tokoh sentral, karena banyak kisah lain yang juga menyita cukup banyak ruang, hingga tak ada perkembangan watak, konflik batin, ataupun ungkapan emosi dari Christina. Waktu mengetahui dirinya hamil dan ditinggal pacarnya, Maria merayu Rudi, calon dokter dan pacar kakaknya, hingga mau kawin. Dan hancurlah harapan Christina. Setelah bangkit, Christina berjumpa dengan Harry, karyawan kantor bapaknya, yang juga gigolo dan bersekongkol akan merampok bank tempatnya bekerja. Usaha perampokan gagal karena Harry berbalik sikap, dan akhirnya bisa kawin dengan Christina."
"Inem Pelayan Sexy III","Comedy",1977,NA,"Colour",94,NA,NA,"Djamaluddin S","Nya Abbas Akup","Nya Abbas Akup","Doris Callebaute, Titiek Puspa, Jalal, Aedy Moward, Suprapto","Dengan slogan ""Tanpa Babu Negara Kacau"", Inem mengadakan kongres babu-babu lengkap dengan segala upacara dan tata caranya. Kongres ini berangkat dari pikiran bahwa nasib babu masih sengsara dan mendapat perlakuan tak adil. Sebagai bekas babu dan kini istri multi milyarder, dia tergerak untuk memperbaiki nasib kaumnya. Tapi, sebenarnya kegiatan ini muncul dari ambisi pribadinya untuk menjadi tokoh, di samping dia tidak lagi tahu harus berbuat apa sebagai istri orang kaya. Hal inilah yang sebenarnya lebih jadi motivasi utama. Maka semua tindakannya jadi tidak proporsional: ada Bank Babu-Babu, Monumen Babu-Babu, Perumahan Babu-Babu, Taman Babu-Babu, dll. Ketidakseimbangan ini dipulihkan di akhir film. Semua usaha Inem kocar-kacir, rumah tangganya pun kocar-kacir. Inem kembali jadi istri ""biasa"". Film ini paling lengkap menunjukkan sikap sosial Nya Abbas."
"Inem Pelayan Sexy II","Comedy",1977,NA,"Colour",95,NA,NA,"Djamaluddin S","Nya Abbas Akup","Nya Abbas Akup","Doris Callebaute, Herry Koko, Jalal, Kardjo AC-DC, Titiek Puspa, Aedy Moward","Inem sudah jadi nyonya besar, tapi gunjingan terus berjalan. Inem kebetulan ketemu bekas suaminya. Brontoyudo cemburu sampai linglung, melihat Inem masih intim dengan bekas suaminya. Ny. Cokro mendorong-dorong suaminya untuk menyelesaikan masalah ini. Tindakan pertama, membuka lamaran babu-babu baru. Maka berduyunlah yang melamar. Babu pilihan disodorkan pada Bronto, tapi Inem seperti tak kenal cemburu. Di akhir film baru tampak keintiman Inem dengan bekas suaminya: Inem mendirikan sekolah asrama yatim piatu dll."
"Dukun Beranak","Mistic",1977,NA,"Colour",102,NA,4,"Tuty S, Oetama Saaran","Bay Isbahi","RAF","Tuty S, Dicky Zulkarnaen, Sofia (Sofia WD), Tatty Saleh, Tisna S Brata","Nyi Anis, yang diusir suaminya, Agus dalam keadaan mengandung, minta bantuan Mak Onah, seorang ahli ilmu hitam karena dendam. Mak Onah mau membantu agar Agus kembali mencintai Anis, tapi dengan syarat mengorbankan bayi setiap bulan purnama, sebanyak enam kali. Korban pertama adalah bayinya sendiri. Maka Anis berubah menjadi Amundari yang jelek dan kemudian Nyi Mayang yang cantik jelita. Untuk keperluan itu dia juga diberi keahlian sebagai dukun beranak. Baru setengah dari masa syarat itu, Anis sudah ingin dicabut ilmu hitamnya. Ia merasa sudah bisa menaklukkan Agus kembali. Mak Onah keburu meninggal, hingga Anis alias Nyi Mayang tidak bisa kembali. Seperti juga ketika orang desa melawan Mak Onah dengan doa, demikian pula ketika mereka menaklukkan Nyi Mayang. Film hasil kerja sama dengan Pemda Jabar ini antara lain memang dimaksud untuk menggalakkan pariwisata, maka tampil tari-tarian dan musik tradisional Sunda. Ceritanya sebenarnya sangat tidak mendukung maksud itu dan malah bisa mengukuhkan tahyul dalam masyarakat."
"Koboi Cilik","Comedy",1977,NA,"Colour",90,NA,NA,"MT Arsyad","Sofyan Sharna","Sofyan Sharna, Tim Adhi Yasa Film","Adi Bing Slamet, Eddy Sud, S Bagio, Idjah Bomber, Darto Helm","Kisahnya ""jiplakan"" dari film-film koboi Amerika. Ayah-ibu Adi Bing Slamet dibunuh gerombolan penjahat yang sekarang menguasai kota. Sherifnya pun ditangkap dan dipenjara. Niat Adi untuk membalas dendam diperhalus oleh sahabat ayahnya yang kemudian mengangkat Adi sebagai anak, yaitu Eddy Sud. Gaya Adi dan Eddy Sud seolah-olah koboi sungguhan, sementara lawannya gerombolan S. Bagio bermain sebagai pelawak tolol, yang maksudnya untuk mencari efek lucu."
"Semau Gue",NA,1977,NA,"Colour",91,NA,5,"Tommy Indra, Syamsir Alam","Arizal","Eddy D Iskandar","Jenny Rachman, Rano Karno, Yessy Gusman, Pong Hardjatmo, Chitra Dewi","Citra, pelajar SMA yang dimanja ibunya hingga tumbuh jadi gadis nakal. Ia sering berganti pacar dan membohongi orangtua dengan alasan sibuk latihan kesenian. Andi yang dianggap sebagai saudara sendiri dalam keluarga Citra, benci dengan tingkah laku Citra. Sebagai anak rajin dan pintar, ia mendapat simpati dari kawan sekolahnya, Nina. Pertengkaran keluarga akibat ulah Citra sampai memuncak dan membongkar rahasia bahwa Andi bukanlah saudara kandung Citra. Andi memutuskan hidup mandiri dan sempat terlunta-lunta. Citra sendiri semakin bengal dengan tidak adanya Andi. Pergaulan bebas Citra mengakibatkan ia hamil. Untuk menutupi aib keluarga, Andi yang sudah kembali, terpaksa menikahi Citra. Kebaikan Andi membuat Citra sangat berdosa. Ia lalu menuntut tanggung jawab pada pemuda yang menghamilinya."
"Jumpa di Persimpangan","Drama",1977,NA,"Colour",89,NA,NA,"Djamaludin Effendy","Chaidar Djafar","Usman Said, Chaidar Djafar, Djamaludin Effendy","Usman Said, Malino Djunaedy, S Kumala Dewi, Yoseano Waas, Rina Hassim","Keluarga Chandra yang kaya jatuh miskin karena judi dan hidupnya yang berhura-hura. Karena terbiasa dalam kemewahan, anak lelakinya, Pandi, terjerumus dalam dunia kejahatan, sementara adiknya, Dewi, dalam mempertahankan kenyamanan kemewahan menjatuhkan diri dalam pelukan Syam, orang kaya. Akibatnya, keluarga Syam jadi berantakan. Istri Syam serong dengan Pandi. Melodrama ruwet ini diakhiri dengan tumpasnya kelompok penjahat Pandi, sedang istri Syam tertembak dalam sebuah peristiwa kekerasan. Hal ini membuka jalan bagi Dewi untuk tetap di pelukan Syam, yang juga mencintainya."
"Jalur Bali (Runtuhnya Sindikat Narkotika)","Action, Drama",1977,NA,"Colour",108,NA,NA,"R Soeharjono","Soendjoto Adibroto","Soendjoto Adibroto, J Mandagi","Maruli Sitompul, Deddy Sutomo, Beng Ito, Wenda Wijaya, Lahardo","Seorang perwira muda polisi mendapat tugas memberantas sebuah sindikat narkotika di Bali. Sindikat itu dapat digulung, tapi muncul jaringan lain yang lebih sulit diberantas. Boss sindikat itu, memiliki jaringan antar negara. Dalam sindikat itu terjadi persaingan sendiri. Kondisi ini dimanfaatkan dengan jeli oleh aparat negara. Kisah juga dibumbui percintaan. Juga tampil peristiwa adat di Bali dan Banyuwangi sebagai latar belakang."
"Cinta Biru","Drama",1977,NA,"Colour",81,NA,NA,"Harris Lasmana, Ali Hasan","Jasso Winarto","Fred Wetik","Sudewo, Sardono W Kusumo, Ikranagara, Nani Widjaja, Anissa Diah","Pada dasarnya film ini bicara dengan bahasa karikatur. Kejadiannya pada sebuah rumah besar. Bandot adalah pria gagah pensiunan jendral, tapi tingkahnya tidak mencerminkan seorang tokoh yang patut diteladani. Ia memiliki simpanan, peragawati gagal. Konflik muncul tatkala sang peragawati itu dijadikan model oleh pelukis Prabowo. Prabowo dihabisi anak buah Bandot. Prayoga, saudara Prabowo, berusaha menuntut balas. Dengan nekat, Prayoga melempar granat terhadap Bandot."
"Gersang tapi Damai","Drama",1977,NA,"Colour",NA,NA,NA,"Hakim Mansun","Wahyu Sihombing","Tatiek Maliyati, Mudjimanto AS","Cok Simbara, Kusno Sudjarwadi, Maruli Sitompul, Paula Rumokoy, Wilda, Ruth Pelupessy, Rahayu Effendi","Setelah melihat latar belakang kecelakaan adiknya, Santo, sangat kecewa dengan sikap ayahnya, Sudibyo, jutawan. Sang ayah ini, juga ibunya, tetap saja pulang balik ke luar negeri. Adik yang lain, Merry hamil, sementara pacarnya tidak bertanggung jawab, hingga Merry diungsikan ke rumah neneknya. Lewat perkenalannya dengan Tante Lastri, yang tak jelas apa-siapanya, Santo berkenalan pula dengan narkotik. Untung ada Pastor Donggo yang menolong dan memasukkannya ke panti perawatan morfinis. Di sini tumbuh cintanya pada Suster Ester. Tentu saja cinta tak bisa berlanjut, karena suster punya kaul sendiri. Sesuai dengan ""propaganda"" anti narkotika, maka Santo sembuh dan tetap memiliki harapan di masa mendatang."
"Suci Sang Primadona","Drama",1977,NA,"Colour",116,NA,6,"J Adisubrata","Arifin C Noer","Arifin C Noer","Joice Erna, Sukarno M Noor, Alam Surawidjaja, Awaludin, Rano Karno","Karya pertama Arifin C Noer yang besar di teater ini, lumayan dan cukup orisinil. Dan karena lama berkecimpung di teater, Arifin sangat peka akan akting pemainnya, hingga konsep penyutradaraannya klop dengan ide cerita. Suci nampak dibuat-buat permainannya bila berhadapan dengan Oom Kapten, Pak Dawud, dan Tuan Condro. Tiga lelaki ini tempat Suci, primadona panggung teater rakyat, meraih impiannya tentang kekayaan. Berhadapan dengan Eros, pemuda yang lari dari tekanan orangtuanya, Suci menjadi wajar. Pribadinya menjadi utuh. Namun, hubungan kedua manusia ini menimbulkan impian lain bagi Suci: cinta, yang juga tak mungkin diraihnya."
"Gaun Hitam","Drama",1977,NA,"Colour",110,NA,NA,"Hendrick Gozali","Ali Shahab","Ali Shahab","Tanty Josepha, Rae Sita, Muni Cader, S Bono, Robby Sugara","Dewi menjadi hostes untuk membiayai operasi kanker ibunya. Di klab malam ini, Sarce menarik Dewi untuk dijadikan peragawati. Niat Sarce, dibantu oleh Harun, pembantu dekat Martono, adalah untuk mengeruk harta Martono itu. Umpannya ya Dewi. Agar lebih cepat niat Sarce itu terlaksana, ia membayar playboy Robby untuk menghamili Dewi. Anak memang dambaan Martono, duda yang hartawan ini. Rencana berhasil, meski dengan sedikit ruwet, karena Robby jatuh cinta betulan pada Dewi, hingga Robby harus disingkirkan dan Dewi dipaksa mengaku bahwa anak itu adalah anak Martono. Maka Martono mengawininya dengan sah. Setelah itu Sarce membujuk Dewi agar memberi pil perangsang pada Martono, hingga yang terakhir ini mati. Rencana Sarce hampir sempurna. Dewi yang tahu, lalu mengambil pistol dan membantai Sarce dan Harun."
"Arwah Komersil dalam Kampus","Comedy",1977,NA,"Colour",115,NA,NA,"Ronald Lolang","Muchlis Raya","Sjuman Djaya, Eko Suharyo","Mang Udel, Suroto, Kardjo AC-DC, Christine Hakim, S Darto, Teten","Film banyolan yang maunya lain, namun tak tercapai. Pak Parto kalah berjudi di rumahnya sendiri. Rumahnya amblas, tapi ia masih sempat beli kado untuk anaknya yang ulang tahun. Entah karena apa ia meninggal. Arwah Parto ini yang kemudian jadi topik. Ia selalu membantu anaknya, Dr. Hartono, yang jadi dosen. Namun bantuannya itu selalu saja salah, hingga Hartono selalu ketiban sial. Kemudian ada cerita tentang kampus dan tentang Tante Sun."
"Operasi Tinombala","Drama",1977,NA,"Colour",116,NA,9,"Herman Samadikun","M Sharieffudin A","M Aminudin A","Kusno Sudjarwadi, Hassan Sanusi, Fadly, WD Mochtar, Tutie Kirana","Film ini hendak menghidupkan lagi peristiwa jatuhnya pesawat MNA di Gunung Tinombala setahun sebelumnya. Harian dan majalah banyak yang mengungkap drama ini. Sayang film ini tidak lebih dari apa yang pernah diungkapkan oleh harian atau majalah tadi. Malah ia harus dikurangi lagi oleh emosi yang berhasil diungkapkan secara tertulis. Sutradara lebih mengajak penonton menikmati mekanisme kerja SAR, berikut rangkaian pemandangan di gunung. Kecemasan keluarga yang menunggu dari hari ke hari tidak digali. Informasi kronologis usaha pencarian yang mungkin bisa membangun ketegangan dan perkembangan korban, kurang diperhatikan."
"Akulah Vivian (Laki-laki Jadi Perempuan)","Drama",1977,NA,"Colour",85,NA,NA,"M Endraatmadja, Budiman Salim","M Endraatmadja","Abdi Wiyono","Lenny Marlina, A Hamid Arief, Lies Saodah, Vivian Rubianty, Kris Biantoro","Sekelumit riwayat Vivian Rubianty, pria yang mengalami operasi pergantian kelamin menjadi wanita. Kisah ini menarik banyak perhatian media massa. Eva mencoba mendekati Vivian karena akan kawin dengan ayahnya Arif. Vivian lari dari rumah, karena dipaksa menjadi laki-laki, padahal dari kecil ia punya kecenderungan perempuan. Ia ditampung Tante Lies dan bekerja di sebuah salon kecantikan dan punya pacar Alex, yang menolongnya waktu ia hendak dirampok di jalan. Alex tak tahu bahwa ia seorang wadam. Eva yang memberi tahu. Akibatnya salah paham. Dikira Eva memacari Alex. Eva yang diam-diam sudah menyiapkan diri untuk operasi, setelah selesai pemeriksaan pendahuluan, diam-diam pergi ke Singapura untuk operasi. Setelah tahu, Eva, Alex, dan Arif lalu menyusul ke Singapura. Semua kesalahpahaman selesai. Arif bisa menerima keadaan anaknya. Film diselingi dengan sedikit banyolan, pemilihan ratu wadam, dan penjelasan mengenai tiga macam wadam."
